,Date,Stocks,Headlines,Description
19,2023-10-19 10:59:54,axis-bank-AXBK,"Sensex, Nifty fall for second straight session on weak global trends","Equity indices fall for 2nd day; Wipro's weak earnings, FII outflows weigh. Nifty down 0.24% to 19,624.70 pts. Wipro's net profit flat, Nestle's up 37.28%. Major laggards: Wipro, NTPC, Tech Mahindra, JSW Steel. Gainers: UltraTech Cement, IndusInd Bank, L&T, Axis Bank. Global markets in red; Brent crude down 1.99%. FIIs offloaded ₹1,831.84 cr."
22,2023-10-13 16:07:25,axis-bank-AXBK,"Sensex Ends 126 pts Lower; Nifty Below 19,750; Tata Motors Jumps 5%, Infy Slides 2% - News18","Infosys was the major loser, down over 2 per cent. Axis Bank, Wipro, Tech Mahindra, ICICI Bank and SBI were the other prominent losers"
23,2023-10-13 14:43:20,axis-bank-AXBK,"Risk of Indian banks’ unsecured retail loans turning sour is rising, UBS says","Risk of unsecured retail loans rising in India: UBS. Banks' unsecured loan portfolios have grown as pandemic-induced stress on household finances eases. UBS sees higher probability of regulatory tightening on unsecured loans. UBS has cut ratings on SBI and Axis Bank, raised credit cost forecasts. Favors HDFC Bank and IndusInd Bank."
25,2023-10-05 07:00:23,axis-bank-AXBK,"Axis Bank, IDBI Bank, Kotak Mahindra Bank Revises Fixed Term Deposit Rates; Check Latest Update - News18",FD interest rates are updated by banks on a regular basis.
26,2023-09-29 05:40:03,axis-bank-AXBK,"Sensex, Nifty recover in early trade, lifted by firm trend in global markets","Mkt rebound after 1% fall; Sensex up 235 pts; Nifty 76 pts; NTPC, Tata Motors, JSW Steel, Tata Steel, SBI, L&T, RIL, Sun Pharma, Airtel, ITC gain; Infosys, Wipro, Asian Paints, HCL Tech, TCS, Axis Bank lag; Global cues, rising interest rate, US dollar, bond yields, crude oil prices to impact intra-day."
27,2023-09-28 09:45:20,axis-bank-AXBK,"Sensex, Nifty Open Higher; L&T, Axis Bank, Tata Steel Top Performing; Rupee Edges Up - News18","Tech Mahindra, Asian Paint, Bajaj Finance, Hindustan Unilever and ITC were the laggards down up to 2.5 per cent, in the early morning trade"
28,2023-09-28 06:26:46,axis-bank-AXBK,"Sensex, Nifty trade lower after early gains","Domestic stock markets opened higher but later gave up gains due to muted global trends, FII outflows and derivatives expiry. Sensex and Nifty traded lower, with Larsen & Toubro, JSW Steel, Axis Bank, Tata Steel, Sun Pharma and State Bank of India being the biggest gainers."
29,2023-09-26 16:15:57,axis-bank-AXBK,World Travel On Credit! Report Shows Big Increase In Loan & Card Applications - News18,"Axis Bank Vistara credit card, American Express Platinum Travel card, and SBI ELITE card emerge as top choices for travellers on IndiaLends' platform"
30,2023-09-26 07:42:56,axis-bank-AXBK,"Sensex, Nifty fall on weak Asian stocks, foreign fund outflows","Equity indices fall in early trade; Asian markets, FII outflows, higher crude prices weigh. Sensex down 98.14 points, Nifty 18.75 points. Asian Paints, Kotak Mahindra, Tech Mahindra, TCS, Infosys, Axis Bank major laggards"
31,2023-09-22 15:25:14,axis-bank-AXBK,BQ Banking Unlimited | Advancing The Banking Ecosystem,"BQ Banking Unlimited | Advancing The Banking Ecosystem #BQBankingUnlimited | Axis Bank's Rajiv Anand and Kotak Mahindra Bank's Shanti Ekambaram talk about the advancement of the banking ecosystem, in conversation with Vishwanath Nair."
32,2023-09-22 09:30:11,axis-bank-AXBK,Axis Bank & Bank of America On India’s Inclusion In JPMorgan’s Bonds Index,Axis Bank & Bank of America On India’s Inclusion In JPMorgan’s Bonds Index
33,2023-09-20 05:38:14,axis-bank-AXBK,"Sensex, Nifty fall in early trade on weak global trends ahead of U.S. Fed interest rate decision","Mumbai equity benchmarks fell on Sept 20 due to weak global trends ahead of U.S. Fed's rate decision. HDFC Bank, Reliance Industries, Bharti Airtel, Maruti, Titan & HUL were major laggards. NTPC, IndusInd Bank, Axis Bank & Mahindra & Mahindra were gainers. "
35,2023-09-06 14:22:32,axis-bank-AXBK,Nifty 50 Top 5 Gainers & Losers Today,The top 5 gainers and losers on the Nifty today along with sectoral indices.
36,2023-09-01 12:37:40,axis-bank-AXBK,"Stock Market Today: Sensex, Nifty Log Gains As ICICI, Axis Bank Lead; Metals, Oil & Gas Stocks Rise","The S&P BSE Sensex closed up 556 points, or 0.86%, at 65,387.16, while the NSE Nifty 50 was 182 points, or 0.94%, higher at 19,435.30."
37,2023-08-30 06:56:43,axis-bank-AXBK,"Sensex, Nifty Trade Higher As Infosys, Axis Bank, RIL Lead: Midday Market Update","As of 12:08 p.m., the S&P BSE Sensex was up 343 points, or 0.53%, at 65,418.48, while the NSE Nifty 50 was 100 points, or 0.52%, higher at 19,443.
Infosys Ltd., Axis Bank Ltd., Reliance Industries Ltd., ITC Ltd. and Tata Consultancy Services Ltd. were positively adding to the change in the Nifty.
Power Grid Corp., Bharat Petroleum Corp., State Bank of India, Dr Reddy's Laboratories Ltd. and Coal India Ltd. were negatively contributing to the change."
42,2023-08-23 05:15:32,axis-bank-AXBK,"Sensex, Nifty pare early gains; trade lower on sustained foreign fund outflows","Mkt indices open higher but pare gains; Tata Steel, Axis Bank, JSW Steel, Infosys, TCS, RIL gain; Jio Fin Svcs, Airtel, ITC, Kotak Mahindra Bank, IndusInd Bank, M&M lag. Tokyo, HK up; Seoul, Shanghai down. US mkt mixed. No triggers. FIIs offload equities. BSE ekes out marginal gain; Nifty inched up."
43,2023-08-23 05:06:31,axis-bank-AXBK,Markets pare early gains; trade lower amid continuous foreign fund outflows,"Mumbai bourses open on a high but pare gains; Sensex down 76.55 pts. Nifty at 19,376.35. Tata Steel, Axis Bank, JSW Steel, Infosys, TCS, RIL, UltraTech Cement & NTPC gainers; Jio Financial Services, Bharti Airtel, ITC, Kotak Mahindra Bank, IndusInd Bank & M&M laggards. Tokyo & Hong Kong up, Seoul & Shanghai down. No immediate triggers, investors wait for U.S. data. FIIs offload equities worth ₹495.17 cr. BSE benchmark up 3.94 pts, Nifty up 2.85 pts."
44,2023-08-23 03:55:40,axis-bank-AXBK,"Cleartrip enters bus segment, to add railways soon","Cleartrip expands offerings, entering bus segment & plans to add railways. Aiming for 50% growth rate, it has made substantial investments in tech & marketing. It has partnered with Axis Bank to offer exclusive benefits to credit card holders. With Flipkart acquisition, it is set to establish presence across various segments in next 12-24 months."
45,2023-08-22 05:35:46,axis-bank-AXBK,"Sensex, Nifty make gains in early trade on firm global trends"," Equity benchmarks in India extend previous day's rally; NTPC, M&M, ITC, Tata Motors, Axis Bank, Bajaj Finserv, JSW Steel, L&T gain; Jio Financial Services, TCS, Infosys, Titan lag; US markets, Brent crude, FII inflows influence Indian markets."
46,2023-08-22 04:13:43,axis-bank-AXBK,Government Appoints Axis Bank’s Neelkanth Mishra As Part-Time UIDAI Chairperson,"The Union government has appointed Neelkanth Mishra, chief economist at Axis Bank Ltd., as part-time chairperson of the Unique Identification Authority of India.

It also appointed Prof. Mausam, associate professor of computer science department at IIT Delhi, and Nilesh Shah, managing director at Kotak Mahindra Asset Management Co., as part-time UIDAI members, according to a notification by the Ministry of Electronics and Information Technology on Tuesday."
47,2023-08-21 05:03:57,axis-bank-AXBK,Markets climb in early trade after two days of decline,"Equity indices rebound in early trade; Sensex up 145 pts; Nifty gains 45 pts; Power Grid, NTPC, JSW Steel, HCL Tech, Wipro, TCS, Axis Bank, Tech Mahindra, Tata Steel, Tata Motors gain; Mahindra & Mahindra, Maruti, HUL, Bajaj Finserv lag; Asian markets mixed; US markets end mixed; FIIs offload equities; Brent crude up 0.81%."
48,2023-08-21 07:49:26,axis-bank-AXBK,"Stocks to Watch: IDBI Bank, Jio Financial, Axis Bank, Ashok Leyland, Titan, and Others - News18","Stocks to watch: Shares of firms like IDBI Bank, Jio Financial, Axis Bank, Ashok Leyland, Titan, and others will be in focus on Monday's trade."
50,2023-08-23 07:46:03,axis-bank-AXBK,Gun jumping: CCI slaps ₹40 lakhs penalty on Axis Bank,CCI imposes ₹40 lakh penalty on Axis Bank for failing to notify CCI of its 9.91% stake buy in CSC e-Governance. CCI rejected Axis Bank's submission of a bona fide error in assessing the applicability of the De Minimis exemption. The law stipulates that a merger cannot come into effect until 210 days have passed from the date of notifying CCI or until approval by CCI. High fines have been imposed by competition authorities for 'gun jumping' worldwide.
54,2023-08-17 16:24:07,axis-bank-AXBK,"Axis Bank to provide Kisan Credit Card, unsecured MSME loans via RBI’s Public Tech Platform","Days after the Reserve Bank of India (RBI) announced a Pilot for Public Tech Platform for Frictionless Credit (PTPFC), Axis Bank Ltd. has announced the introduction of two lending products--Kisan Credit Card (KCC) and unsecured MSME loans--to small business customers which will be processed through this platform."
56,2023-08-17 09:13:05,axis-bank-AXBK,Max Life Insurance eyeing double digit growth in new business premium this fiscal,"Max Life Insurance, a private life insurer, is aggressively expanding with a plan focused on channels, growth, new distribution, and new product launches. Capital raise of ₹ 1612 crore from Axis Bank will help deliver double digit growth in new business premium. Expansion includes 100 new offices in Tier-2 cities, 50,000 agent advisors, and ramping up banca play. Capital raise from Axis Bank will take solvency to 227%. Max Life may look at raising other forms of capital post two years."
58,2023-08-14 16:20:35,axis-bank-AXBK,"ICICI Bank, Axis Bank may drag Nifty Bank bank lower this week: Sumeet Bagadia",PSU banks such as Punjab National Bank and IDBI Bank are expected to move higher and deliver decent gains this week.
61,2023-08-10 10:13:32,axis-bank-AXBK,"Stocks in news: Tata Power, IRCTC, Pidilite, Suzlon Energy, LIC and more","Stocks to watch out for today: Bata India , Sula Vineyards, LIC, Pidilite, Grasim, Hero MotoCorp, Axis Bank, Suzlon Energy Tata Power, IRCTC and more     

"
62,2023-08-10 17:47:30,axis-bank-AXBK,"Max Financial Services shares hit 52-week high on Axis Bank’s stake purchase, settle 9% higher. Tech analysts view","Max Financial Services share price: Axis Bank said it would raise its stake in insurer Max Life Insurance Company to 16.20 per cent from 9.99 per cent by infusing Rs 1,612 crore. Max Life Insurance is a joint venture between Max Financial Services and Axis Bank. Axis Bank along with its entities acquired a 12.99 per cent stake in Max Life in 2021 and through this new investment, they would own 19.02 per cent in the private insurer."
65,2023-08-10 02:28:30,axis-bank-AXBK,"Stocks that will see action today: August 10, 2023",NCLT to decide on Zee-Sony merger; Happiest Minds to acquire digital cos; Suzlon to raise Rs 2K cr via QIP; Axis Bank to buy 6% stake in Max Life; L&T to acquire 26% stake in L&T Special Steel; Taylormade Renewables wins Rs 159 cr order; 21st Century Mgmt-WestCoast Paper to report results.
68,2023-08-10 03:46:43,axis-bank-AXBK,"Stocks To Watch: Axis Bank, Zee, Suzlon Energy, Tata Power, IRCTC, Abbott, LIC, Hero MotoCorp, Torrent Power","U.S. stocks pushed away from session lows, with traders gearing up for inflation data that will help shape the outlook for the Federal Reserve’s next steps, Bloomberg reported.

The S&P 500 was trading 0.18% lower while the Dow Jones Industrial was down 0.01% as of 2:30 p.m. New York time. The Nasdaq traded 0.44% lower.  "
69,2023-08-09 15:33:41,axis-bank-AXBK,Axis Bank to raise stake in Max Life via ₹16.12 bn investment,Proposed infusion by Axis Bank in Max Life to help it support its future growth ambitions
71,2023-08-09 15:04:18,axis-bank-AXBK,"Axis Bank to pick up 6% more stake in Max Life for ₹1,612 crore","Axis Bank is looking to buy 6 per cent more stake in JV Max Life Insurance for ₹1,612 crore by way of preferential issue of 14.3 crore equity shares. "
72,2023-08-09 13:36:14,axis-bank-AXBK,Axis Bank To Acquire Additional 6.23% Stake In Max Life,"Private sector lender Axis Bank Ltd. has agreed to purchase an additional 6.23% stake in Max Life Insurance Co. for Rs 1,612 crore. 

The proposed transaction will be conducted through preferential allotment of shares, according to an exchange notification."
74,2023-08-08 11:37:48,axis-bank-AXBK,"Sensex, Nifty fall as cautious market awaits RBI monetary policy review, US inflation data","Mkt indices fall on cautious investor sentiment ahead of key events. BSE Sensex down 0.16%, NSE Nifty 0.13%. RBI MPC meeting to decide policy on Aug 10. Power Grid, M&M, JSW Steel, HCL Tech, Sun Pharma major laggards. Tech Mahindra, Wipro, Bajaj Finance, SBI, Bajaj Finserv, Axis Bank major gainers. Global cues, RBI policy, US inflation data to dictate trends. FII offloaded equities worth ₹1,892.77 cr."
76,2023-08-09 13:08:14,axis-bank-AXBK,"HDFC Bank, Axis Bank, ICICI Bank & Bajaj Finance among Deven Choksey’s top stock picks","Top stock picks for today: Deven R Choksey on Monday told BT TV that if the economy has to move to $5 trillion mark in the next 3 to 5 years, banking and finance companies with a larger balance sheet would remain extremely effective preposition.
"
77,2023-08-07 11:01:14,axis-bank-AXBK,"Sensex, Nifty extend gains on buying in M&M, Infosys, TCS, RIL"," BSE Sensex & NSE Nifty gain on buying in M&M, Infosys, TCS & RIL; FIIs offload equities worth Rs 556.32 cr. Sensex up 232.23 pts, Nifty 80.30 pts. M&M biggest gainer; SBI, Tata Motors, Axis Bank lag. Global markets mixed; Brent crude down 0.73%."
81,2023-08-01 02:16:37,axis-bank-AXBK,Axis Bank Sees Fight for India Deposits Intensifying,"The battle for deposits among Indian lenders is unlikely to abate, a senior official at Axis Bank Ltd. said on Monday, with customers seeking higher returns on their investments."
87,2023-07-29 13:34:12,axis-bank-AXBK,"Technical Analysis: Apollo Pipes, Axis Bank and Sunteck Realty","Apollo Pipes’ stock shows a bullish trend, with a potential rally expected. Consider buying at ₹722.50, add more at ₹706, and set a stop-loss at ₹690. Book profits at ₹770 or tighten stop-loss at ₹715 if it rises above ₹750. Axis Bank’s stock rally remains positive above trendline support at ₹925. Retain the buy at ₹900 with a stop-loss at ₹900, and consider exiting at ₹1,100. Consider going long in Sunteck Realty’s stock at ₹362, adding longs at ₹345, with an initial stop-loss at ₹320 and a target of ₹415. The stock remains bullish with potential for a rally."
88,2023-07-28 14:19:04,axis-bank-AXBK,"Axis Bank Updates Fixed Deposit Interest Rates, Posts Robust Q1FY24 Results - News18","For deposits maturing in 7 days to 45 days, the interest rate is 3.50%.
"
91,2023-07-27 17:25:39,axis-bank-AXBK,ITR Deadline To Bank Holidays To Credit Card Changes: Here Are Key Financial Updates For August 2023 - News18,"Key Financial Updates For August 2023: Axis Bank is changing benefits for its co-branded Flipkart credit card, SBI special deposit scheme will close during the month, ITR filing will attract penalty"
94,2023-07-27 05:47:42,axis-bank-AXBK,Axis Bank Q1 Review - Mixed Results; NIMs To Moderate But Settle At Higher Levels Versus Past: Dolat Capital,"Axis Bank Ltd.'s margins at 4.1% (-12 basis points QoQ) benefitted from impact of Citi assets and higher credit-deposit ratio, despite adverse impact of rise in cost of fund. Axis Bank's operating profit was however hurt by elevated opex as increments and full impact of Citi employee costs had its bearing. Numbers are not comparable on a YoY/QoQ given the impact of merger.
The stock trades at a discount to peers and valuation gap should sustain in the interim. Valuations are nonetheless undemanding. 
Maintain 'Buy' with target price of Rs 1150 "
95,2023-07-27 05:20:11,axis-bank-AXBK,Axis Bank Q1 Review: Operating Expenses To Stay Elevated Due To Citi Integration Costs,"Axis Bank’s first-quarter earnings were stable compared to market expectations, mainly driven by high core income and other income, according to analysts.

The private lender’s first-quarter net profit rose to Rs 5,797 crore, up 40.5% year-on-year, according to an exchange filing on Wednesday. That was close to market expectations as well. Net interest income increased 27.44% to Rs 11,959 crore from a year ago."
97,2023-07-27 05:10:00,axis-bank-AXBK,Axis Bank Ltd.’s shares rise on Q1FY24 results,"Axis Bank's Q1 FY24 results show strong loan growth, leading to a notable increase in its quarterly net profit. NII reached ₹11,959 crore, growing 1.8% q-o-q and 27.4% y-o-y. Share price rose 0.12% to ₹981, despite elevated operational costs due to acquisition of Citi's consumer business. Analyst Shreyansh Shah expects smooth acquisition process to not affect bank's asset quality & bottom line."
98,2023-07-27 04:25:11,axis-bank-AXBK,Axis Bank Q1 Results Review - Net Interest Margins Declined QoQ; Return On Asset At 1.8%: IDBI Capital,"Axis Bank credit growth stood improved to 22% YoY (Citi portfolio impact) led by growth across segments. Asset quality remains stable as gross non-performance asset stood at 1.96% vs led by seasonality. Outstanding Covid restructured assets stood at 0.21%  lower than its peers Net interest income grew  backed by improvement in net interest margins  
Pre-provision operating profit grew backed by lower cost to income ratio. Provisions increased due to higher slippages PAT grew 
Axis Bank  We maintained ‘Buy' rating with target price of Rs 1,140  "
99,2023-07-27 08:35:54,axis-bank-AXBK,"Stocks to Watch: Tech M, RVNL, RIL, Axis Bank, RBL Bank, Nestle India, and Others - News18","Stocks to watch: Shares of firms like Tech M, RVNL, RIL, Axis Bank, RBL Bank, Nestle India, and others will be in focus on Thursday's trade."
102,2023-07-27 02:50:48,axis-bank-AXBK,"Stocks To Watch: Tech Mahindra, RIL, Axis Bank, Tata Consumer Products, Dr. Reddy’s Laboratories","U.S. stocks were trading mixed after the Federal Reserve raised key interest rates by 25 bps to the 5.25% to 5.5% range from , the highest level in 22 years.

The S&P 500 gained 0.18% in trade, while Dow Jones fell 0.05%. The Nasdaq also declined 0.53% as of 3:10 p.m. New York time. The gold spot price gained 0.45% to $1,973.78 and brent crude oil declined 0.85% to $82.93."
103,2023-07-26 15:56:11,axis-bank-AXBK,"Axis Bank Q1 PAT up 41% on strong growth in other, net interest income",CFO Puneet Sharma said that the cost of funds have gone up by over 30 bps on year but rates on non-retail term deposits have plateaued and are expected to stabilise at the current levels
104,2023-07-26 14:24:34,axis-bank-AXBK,"Axis Bank Q1 net profit rises 40% to ₹5,797 crore","Axis Bank posted 40.5% rise in Q1FY24 net profit to ₹5,797cr due to decline in bad loans & improved interest income. Total income rose to ₹30,644cr & NII to ₹11,959cr. Gross NPAs eased to 1.96% & net NPAs to 0.41%. Capital adequacy ratio declined to 17.08%."
105,2023-07-26 15:14:57,axis-bank-AXBK,Axis Bank Q1 Results: Net Profit Up 40.5%,"Private sector lender Axis Bank Ltd. reported a 40.5% year-on-year rise in net profit for the quarter ended June, owing to higher core income and other income.

The lender's net profit rose to Rs 5,797 crore in the first quarter, higher than the Rs 4,125 crore reported a year ago. "
106,2023-07-26 16:57:12,axis-bank-AXBK,"Axis Bank Q1 Results: Net Profit Surges 41% YoY To Rs 5,797 Crore, NII Up 27% - News18","Axis Bank Q1 Results: Its gross NPA and net NPA levels as on June 30, 2023, stood at 1.96 per cent and 0.41 per cent, respectively, as against 2.02 per cent and 0.39 per cent as on March 31, 2023"
107,2023-07-26 10:46:30,axis-bank-AXBK,"Sensex, Nifty close higher on foreign fund inflows, rally in US equities","Sensex & Nifty bounce back Weds. after buying in infra, banking & oil shares. L&T posts 36% rise in net profit. BSE Sensex up 351.49 pts & Nifty 97.70 pts. Major gainers: L&T, ITC, Reliance, Sun Pharma, Kotak Bank, Axis Bank, Infosys & SBI. Asian markets, Europe & US end in red/positive. FIIs buy equities worth ₹1,088.76 crore."
109,2023-07-26 04:41:52,axis-bank-AXBK,Big banks locked in ‘war’ for large corporate loans,"India's top four banks (SBI, HDFC Bank, Bank of Baroda, Axis Bank) could account for ~60% of fresh lending to India Inc. Rates for large corporates are competitive, creating a price war since Sep 2021. AAA-rated entities can borrow at 8-8.5% while A-rated entities at 8.5-8.75%. G-Sec rates are 7.07-7.15%. Banks are vying for other business, such as transaction banking, to make up for low loan pricing."
110,2023-07-26 09:04:35,axis-bank-AXBK,"Stocks to Watch: Axis Bank, Tata Motors, SpiceJet, HCLTech, Jubilant Food, and Others - News18","Stocks to watch: Shares of firms like Axis Bank, Tata Motors, SpiceJet, HCLTech, Jubilant Food, and others will be in focus on Wednesday's trade."
113,2023-07-24 10:28:38,axis-bank-AXBK,Why Axis Bank Has Suspended Redemption Of Reward Points For Some Customers - News18,"The email said that some non-personal use of the credit card was observed, with the names of some merchants being mentioned.
"
114,2023-07-21 23:38:38,axis-bank-AXBK,Axis Bank to devalue Magnus Credit Card from September 1: All you need to know,"The card would lose its monthly milestone benefit of 25,000 points and the annual fee of Axis Magnus has also been increased from Rs 10,000 + GST to Rs 12,500 + GST"
115,2023-07-20 15:36:18,axis-bank-AXBK,Attrition rates in private banks jump to over 30% on increased competition,"Most players such as Axis Bank, Kotak Mahindra Bank and HDFC Bank have reported an increase in the turnover rates"
117,2023-07-18 13:10:31,axis-bank-AXBK,What’s the outlook for private banks? Here are insights from Temasek’s Ravi Lambah,"HDFC Bank is riding high with the reverse merger of parent HDFC Ltd, ICICI Bank is a turnaround story, Axis Bank is building a high-end portfolio, and AU SFB is the most diversified in the small finance pack."
118,2023-07-18 09:29:05,axis-bank-AXBK,"Digital currency pilot gains pace; SBI, HDFC Bank step up campaigns","Banks are pushing CBDC, which has attracted over 1 million users & 262K merchants. It is interoperable with UPI/QR code, allowing customers to make payments in Digital Rupee. Banks like SBI, HDFC & ICICI are onboarding customers, while Axis Bank is asking customers to notify them. CBDC offers trust, safety & settlement finality, & can be used for G-Secs, B2G & P2G transactions."
119,2023-07-18 00:12:51,axis-bank-AXBK,"Stocks To Watch: Reliance Industries, Patanjali Foods, Maruti Suzuki, Infosys, Axis Bank, IDFC, Sheela Foam","Stocks to watch are Reliance Industries, Patanjali Foods, Maruti Suzuki, Infosys, Axis Bank, IDFC, Sheela Foam"
122,2023-07-15 03:50:53,axis-bank-AXBK,"LGBTQIA+ Inclusion: Financial Sector Bats at The Forefront, Implementing Progressive Policies","India's finance industry is leading the way in LGBTQIA+ inclusion, with Axis Bank, Goldman Sachs, JP Morgan, Protium and Wells Fargo taking progressive steps to foster inclusivity. These companies offer mediclaim benefits, joint accounts, gender-inclusive policies, train-and-hire models, transgender internships, and gender-neutral harassment policies, empowering the community and providing valuable opportunities."
123,2023-07-14 18:16:34,axis-bank-AXBK,Axis Bank devalues its co-branded credit card with Flipkart,"Expenditure on flight and hotels through Flipkart and on Myntra will now be eligible for 1.5 per cent unlimited cashback, down from 5 per cent earlier"
125,2023-07-14 07:04:16,axis-bank-AXBK,"Bank Nifty prediction today– Jul 14, 2023: Sell futures if it breaks the support at 44,750","Bank Nifty opened gap-up, testing support at 44,600. AU Small Finance Bank top gainer, Axis Bank top loser. Private banks outperforming PSU banks. Futures trading at 44,800, weak price action. Go short if contract falls below 44,750, stop-loss at 45,000. Profit booking at 44,400. Supports: 44,600 & 44,400, Resistances: 45,000 & 45,150."
128,2023-07-13 10:54:29,axis-bank-AXBK,"Sensex hits record high of 66,000 amid global rally and US CPI data; Infosys, ICICI Bank lead gains","Mumbai Benchmark stock indices hit all-time highs on Thurs. Sensex breached 66,000-mark, Nifty 19,413.75. Major gainers: TCS, Infosys, ICICI Bank, Axis Bank, Wipro, Bajaj Finserv, Tech Mahindra, Bajaj Finance. Retail inflation rose to 3-month high in June, factory output 5.2%. Global markets in green, Brent crude up 0.27%. FIIs offloaded equities worth Rs 1,242.44 crore. Sensex up 164.99 pts, Nifty 29.45 pts."
130,2023-07-11 06:56:54,axis-bank-AXBK,Axis Bank witnesses rise in attrition rate despite acquisition of Citibank India’s consumer business,"Axis Bank experienced a rise in attrition in FY23, with the employee turnover rate reaching 34.8% compared to 31.6% in FY22 and 19.1% in FY21.  The bank’s annual report also highlighted an increase in median remuneration and internal transfers to fill vacant positions."
131,2023-07-07 10:13:38,axis-bank-AXBK,Flipkart joins hands with Axis Bank for loan services,"The service will provide customers access to competitive loan options, enabling them to secure amounts of up to Rs 5 lakh"
133,2023-07-05 19:18:40,axis-bank-AXBK,Bank FD: HDFC Bank Vs SBI Vs Axis Bank; Check Detailed Comparison of Latest Interest Rates - News18,"Here's the comparison of the current FD interest rates offered by three large banks HDFC Bank, SBI and Axis Bank on deposits below Rs 2 crore"
