Date,Headlines,Description,labels,scores
2023-10-22 12:13:38,"Q2 Results 2023 this week: RIL, Axis Bank, TechM, Maruti Suzuki India, BPCL, and more","Q2 results 2023 news: Apart from the Dussehra stock market holiday, widely tracked companies such as Reliance Industries and Maruti Suzuki will declare their earnings this week. ",neutral,0.7994217872619629
2023-10-22 12:10:19,Mcap of Top-10 Valued Firms Plunges Rs 1.52 Lakh Crore - News18,"In the ranking of top 10 firms, Reliance Industries retained the title of the most valued firm followed by TCS, HDFC Bank, ICICI Bank, Infosys, Hindustan Unilever, ITC, Bharti Airtel, State Bank of India and Bajaj Finance",neutral,0.628584623336792
2023-10-18 02:42:51,"Ambani’s Youngest Son, Anant, Faces Proxy Firms’ Pushback On Board Seat","Institutional Shareholder Services Inc., an international proxy advisory firm, has recommended that shareholders vote against the proposal to appoint billionaire Mukesh Ambani’s youngest son, Anant Ambani, on the board of the family-controlled Reliance Industries Ltd., underscoring concerns around succession planning at India’s largest company by market value.",negative,0.881837785243988
2023-10-15 16:21:35,"Mcap of Six of Top-10 Firms Jumps Rs 70,527.11 Crore; Reliance Industries Biggest Gainer - News18","While Hindustan Unilever Ltd, Bharti Airtel, ITC, ICICI Bank and HDFC Bank were the gainers, Infosys, Tata Consultancy Services (TCS), State Bank of India and Bajaj Finance emerged as the laggards",neutral,0.7653013467788696
2023-10-15 11:00:38,"Mcap of six of top 10 firms jumps ₹70,527.11 crore; Reliance Industries biggest gainer","The market capitalisation (mcap) of ICICI Bank rose ₹4,581.64 crore to ₹6,66,639.07 crore ",positive,0.9511690139770508
2023-10-12 14:28:52,Reliance Industries chairman Mukesh Ambani visits Badrinath Dham,"In October last year, Ambani had visited Badrinath Dham and Kedarnath Dham",neutral,0.9038257002830505
2023-10-10 16:12:06,Rs 3.3 lakh cr! Mukesh Ambani surpasses Gautam Adani in Hurun rich list,"Mukesh Ambani’s ranking soared despite Reliance Industries’ lackluster performance in the stock market, says the Hurun rich list. ",positive,0.9042103290557861
2023-10-10 15:27:04,Mukesh Ambani overtakes Gautam Adani to secure ‘richest Indian’ title on Hurun India Rich List 2023,"Reliance Industries Limited has made cumulative investments exceeding $150 billion in the last decade, surpassing any other corporation in India, the report said.",positive,0.8447247743606567
2023-10-04 14:20:34,Reliance unveils swappable batteries for EVs,"Reliance Industries showcases swappable battery storage tech for EVs, part of $10B green push. Batteries can be swapped at stations or recharged using rooftop solar. Working on customizable batteries, intelligent swap stations, integrated charging networks. Won incentive to set up 5GWh battery manufacturing facility. Aim to cut pollution, promote wider adoption of EVs.",positive,0.6901456117630005
2023-10-01 11:22:01,"Mcap of Five of Top 10 Most Valued Firms Decline by Rs 62,586 Crore; TCS, Infosys Biggest Laggards - News18","In the ranking of the most-valued firms, Reliance Industries remains at the top followed by TCS, HDFC Bank, ICICI Bank, Infosys, Hindustan Unilever, ITC, State Bank of India, Bharti Airtel and Bajaj Finance",neutral,0.7879458665847778
2023-09-27 05:23:30,"Mukesh Ambani’s Children Will Get No Salary, Only Fee For Attending Board Meetings","Billionaire Mukesh Ambani's three children as directors of Reliance Industries Ltd will be paid only a fee for attending board and committee meetings, the company said in a resolution seeking shareholder nod for their appointment on its board.

The terms of the appointment of the three are the same as the ones on which Ambani's wife Nita was appointed to the company board in 2014.",neutral,0.9497585892677307
2023-09-27 02:34:05,Reliance Industries: Key Support Level To Watch As The Stock Enters Oversold Zone,"Reliance Industries, India's largest conglomerate, may transform into a holding company, according to a report by CreditSights. The report said that this move could unlock value for shareholders.",positive,0.812391459941864
2023-09-26 01:22:23,Reliance Industries Hits Oversold Level After Six-Month Gap,"Reliance Industries Ltd. fell for a fifth day, pushing India’s largest company by market valuation into oversold territory for the first time since March. Some investors may see that as a potential for a rebound, as has been the case when shares hit that technical level previously.",negative,0.9371784329414368
2023-09-25 00:18:23,"Stocks To Watch: SBI, Reliance Industries, LIC, JSW Steel, Bajaj Finance, Delta Corp","U.S. stocks gained as bond yields retreated and oil fell at the end of a jittery week that saw investors positioning for a higher-for-longer Federal Reserve stance, reported Bloomberg.

The S&P 500 was up 0.03% and the tech-heavy Nasdaq 100 traded 0.27% higher as on 2:01 p.m. New York time. On the other hand, Dow Jones Industrial Average was down 0.06%.

",negative,0.6218294501304626
2023-09-20 05:38:14,"Sensex, Nifty fall in early trade on weak global trends ahead of U.S. Fed interest rate decision","Mumbai equity benchmarks fell on Sept 20 due to weak global trends ahead of U.S. Fed's rate decision. HDFC Bank, Reliance Industries, Bharti Airtel, Maruti, Titan & HUL were major laggards. NTPC, IndusInd Bank, Axis Bank & Mahindra & Mahindra were gainers. ",negative,0.9707881808280945
2023-09-19 11:44:36,Gas Price For Reliance Industries To Be Reduced By 14% From Next Month,"The price of natural gas produced from difficult areas like KG-D6 of Reliance Industries Ltd. is likely to be cut by about 14% from next month in line with softening energy prices, sources said.For the six-month period starting October 1, the price of gas from deep sea and high-pressure, high-temperature areas is likely to be cut to around $10.4 per million British thermal unit from the current $12.12, they said.",negative,0.8815870881080627
2023-09-21 09:12:30,Disney India Sale Talks Draw Firms Including Reliance,"Walt Disney Co. has held preliminary talks with potential buyers for its India streaming and television business including billionaire Mukesh Ambani’s Reliance Industries Ltd., according to people familiar with the matter.",neutral,0.7172664403915405
2023-09-18 10:53:18,"Sensex, Nifty fall after record-breaking rally; investors await Fed rate decision","On Sept. 18, Sensex & Nifty ended lower after 11-day rally due to weak global markets & caution ahead of Fed's rate decision. HDFC Bank, Bharti Airtel, Infosys, UltraTech Cement, Tata Steel, Wipro, Kotak Mahindra Bank, Reliance Industries, Tech Mahindra & JSW Steel were major laggards. Asian markets ended mixed, while European & US markets ended in negative territory. FIIs bought equities worth Rs 164.42 crore. Brent crude rose 0.39% to $94.30/barrel.",negative,0.7381646633148193
2023-09-14 07:49:57,Delhi High Court To Hear Government Plea Against RIL in KG-D6 Gas Block Case,"The Delhi High Court has agreed to hear the government's plea in a dispute relating to the KG-D6 gas block arbitration case, involving Reliance Industries Ltd.

The division bench of Justices Manmohan and Mini Pushkarna agreed to hear the centre’s plea against RIL, for allegedly syphoning gas in the Bay of Bengal. The matter is now likely to be listed on Feb. 12.",neutral,0.7897073030471802
2023-09-11 06:06:08,"Reliance Industries, Tata Communications Shares Rise On Nvidia Tie-Ups","Shares of Tata Communications Ltd. and Reliance Industries Ltd. rose on Monday after they entered into partnerships with Nvidia Corp. to build large-scale artificial intelligence infrastructure.

The U.S.-based chipmaker has tied up with the conglomerates to build infrastructure-as-a-service and platform for AI services.",positive,0.9279761910438538
2023-09-09 18:28:42,Reliance Industries Donates Rs 25 Crore to Uttarakhand for Flood Relief - News18,"Anant Ambani made the donation on behalf of the company to the Mukhya Mantri Rahat Kosh, or the Chief Minister’s Relief Fund",neutral,0.9262104034423828
2023-09-08 15:10:32,Nvidia to Partner With India’s Tata and Reliance for AI Development,"Nvidia Corp. plans to partner with the Tata Group on artificial intelligence, according to people familiar with the matter, hours after another Indian conglomerate, Reliance Industries Ltd., announced a similar deal.",neutral,0.8306126594543457
2023-09-08 15:36:50,"India’s Reliance Explores Chipmaking Foray, Talking With Potential Partners - News18",Billionaire Mukesh Ambani's Reliance Industries has begun exploring a foray into semiconductor manufacturing,neutral,0.543667733669281
2023-09-06 13:16:20,Kotak Mahindra AMC’s Nilesh Shah says he is not joining Jio BlackRock MF as CEO,"In July, Jio Financial Services Ltd, the demerged financial lending arm of Reliance Industries Ltd, and BlackRock, the world’s largest asset manager, joined hands to set up an asset management company with a combined investment of $300 million.",neutral,0.7999730706214905
2023-09-01 01:33:52,"Stocks To Watch: Reliance Industries, Jio, LIC, GlaxoSmithKline Pharma, PNB, Sula Vineyards, Nykaa","U.S equities were trading mixed on Thursday amid mixed economic data while traders awaited Friday's jobs report to catch some clues on Federal Reserve policy outlook, according to Bloomberg.

S&P 500 was up 0.23%, while Nasdaq traded 0.425 higher as of 2:32 p.m. New York time. Dow Jones, however, slipped 0.08%.",negative,0.8075981736183167
2023-08-29 08:26:50,Ambani To Focus On Reliance’s Succession Plans Over Five Years,Mukesh Ambani said he will spend the next five years of his chairmanship of India’s most valuable company preparing his children to transform Reliance Industries Ltd. into a digital and green energy behemoth.,neutral,0.8353770971298218
2023-08-28 17:25:51,"Reliance AGM 2023: ‘JFS an invaluable addition to RIL,’ says Mukesh Ambani; to enter insurance sector","Reliance AGM 2023: Mukesh Ambani said that like Reliance Retail and Reliance Jio, he is confident that Jio Financial Services will prove to be an invaluable addition to Reliance Industries’ ecosystem of consumer-facing businesses.",positive,0.9389826655387878
2023-08-28 16:58:27,"Jio Sees 1,100 Cr GB Data Traffic Per Month, Crosses 450 Mn Subscribers: RIL Chairman Mukesh Ambani - News18","""Jio, Reliance's digital services business, has witnessed another year of outstanding growth, posting a record high revenue of Rs 1,19,791 crore and an EBITDA of Rs 50,286 crore, reflecting a year-on-year revenue growth of over 20%,"" says Mukesh Ambani, chairman and MD of Reliance Industries Limited (RIL) at the AGM",positive,0.9497809410095215
2023-08-28 12:45:33,"Reliance AGM 2023: Mukesh Ambani Moves Ahead With Succession As Isha, Anant, Akash Are Named On RIL Board","Mukesh Ambani further shaped his oil-to-telecom conglomerate's succession plan with his three children are set to join the board of Reliance Industries Ltd., the group’s parent.

While Nita Ambani stepped down from the board of Reliance Industries, Isha, Akash, and Anant have been named as executive directors on the board of RIL, according to an exchange filing even as Mukesh Ambani addressed shareholders at the company’s 46th annual general meeting.",neutral,0.9009171724319458
2023-08-28 11:14:27,Jio 5G on track to cover entire country by Dec; JioAirFiber to be launched on Ganesh Chaturthi: Mukesh Ambani,"Reliance Industries Chairman Mukesh Ambani, speaking at the company’s Annual General Meeting, said Jio's 5G rollout was the world's fastest and on track to cover entire India by December this year. Jio customer base has crossed 450 million. Its 5G network covers 96 per cent of towns and the company is on track to cover the entire country by December, he said.",positive,0.809891939163208
2023-08-28 16:21:40,"Reliance Foundation is the Beating Heart of Reliance, Says Nita Ambani at RIL AGM 2023 - News18","Speaking at the 46th RIL AGM, Reliance Foundation Chairperson Nita Ambani said the NMACC in Mumbai has so far welcomed more than 20 lakh guests. “Our vision is to showcase the best of India to the world and bring the best of the world to India,” she said",positive,0.6771714091300964
2023-08-28 16:08:50,RIL AGM 2023 | Time for All in Biz Community to Work as Grand Coalition to Transform India: Mukesh Ambani - News18,RIL AGM 2023: The Reliance Industries Ltd (RIL) chairman and managing director said that this grand coalition should work to transform India into a fully developed nation by 2047 ─ 'a prosperous India in which no Indian and no region will be left behind',positive,0.7786128520965576
2023-08-28 16:03:12,Reliance AGM 2023: Mukesh Ambani To Remain Chairman & MD for Next 5 Years - News18,"Reliance AGM 2023 LIVE: RIL, under the leadership of Mukesh Ambani, is set to hold its 46th annual general meeting on Monday, August 28, 2023. ",neutral,0.9434024095535278
2023-08-28 12:23:56,Reliance AGM 2023 Updates: Jamnagar Giga Factory To Come Onstream By 2025,"Reliance Industries Ltd. will kick off its 46th annual general meeting at 2:00 p.m. on Monday. Investors will follow the annual speech by Chairman Mukesh Ambani closely, expecting key announcements on retail and telecom arms, the recently listed Jio Financial Services and roadmap for the conglomerate's green energy plans.",neutral,0.6489751935005188
2023-08-28 10:09:31,Mukesh Ambani’s children join Reliance Board; Nita Ambani to step down,"The Board of Directors of Reliance Industries Limited considered and recommended to the shareholders for approval of appointment of Isha Ambani, Akash Ambani and Anant Ambani as Non-Executive Directors of the Company. ",neutral,0.8995586037635803
2023-08-28 15:28:05,"RIL AGM 2023: Reliance Added 2.6 Lakh Jobs, Spent Rs 1,271 Crore on CSR, Announces Mukesh Ambani - News18","The total number of our on-roll employees is nearly 3.9 lakh and the number of indirect livelihood opportunities we have created is many times larger, RIL Chairman Mukesh Ambani said at the AGM on Monday",neutral,0.6134170293807983
2023-08-28 13:54:54,"Reliance AGM 2023 Highlights: Mukesh Ambani Moves Ahead With Succession Plan, 5G And More","Billionaire Mukesh Ambani moved ahead with his succession plan as his three children will join the board of Reliance Industries Ltd., the parent of oil-to-telecom conglomerate. 

Ambani, chairman of the Reliance Industries, offered the road map for the company during its 46th AGM on Monday. ",neutral,0.8806960582733154
2023-08-28 08:20:58,"Reliance AGM 2023: Date, Time, Where To Watch, What To Expect","Mukesh Ambani-owned Reliance Industries Limited (RIL) will hold its 46th annual general meeting (AGM) on Monday, August 28, 2023. This will be RIL’s first AGM after the listing of Jio Financial Services (JFSL) shares on the stock exchanges.",neutral,0.9476906657218933
2023-08-25 04:08:51,Reliance Industries to sell additional stake in retail arm,"Reliance Industries to sell 8-10% stake in Reliance Retail Ventures to fund expansion, retire debt and prepare for public listing. Process to take 12-15 months. Qatar Investment Authority announced $1 billion investment, doubling valuation to $100 billion. Funds to help Reliance fund future capital expenditure and keep retail debt under control.",positive,0.7398752570152283
2023-08-25 00:33:00,"Day trading guide for August 25, 2023: Intraday supports, resistances for Nifty50 stocks","The Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS and SBI. Based on the trend, it also gives intraday trade recommendations with specific entry as well as stop-loss levels. The mentioned resistances and supports will be the exit levels. Do note that the recommendations are based on Technical Analysis and there is a risk of loss in trading. ",neutral,0.8999207615852356
2023-08-25 00:06:36,"Stocks To Watch: Reliance Industries, Shoppers Stop, Bharti Airtel, Granules India, Bharat Electronics","A rally in big tech stocks in the U.S. gradually ended as bond yields rose while traders waded through remarks of Federal Reserve officials and awaited Jerome Powell's speech on interest rates outlook, Bloomberg reported.

The S&P 500 declined 0.78%, while Nasdaq fell 1.12% as of 2:20 p.m. Dow Jones Industrial Average declined 0.76%. Brent crude prices fell 0.17% to $83.07 per bbl, while gold spot rates rose 0.10% to $1,917.41 per ounce.",negative,0.9681504964828491
2023-08-24 22:30:51,"Reliance Industries and Oberoi Hotels to Co-manage Three Iconic Hospitality Projects in India, UK - News18","The collaboration between the two companies will now oversee the management of Oberoi-operated Anant Vilas in Mumbai, an upcoming unnamed project in Gujarat and RIL-owned Stoke Park in UK",neutral,0.8274421095848083
2023-08-24 16:58:00,"RIL, Oberoi to co-manage three hospitality projects in India, U.K.",Reliance Industries Ltd. has announced that it has entered into an understanding with The Oberoi Hotels and Resorts (Oberoi) to jointly manage three properties across India and the U.K. ,positive,0.9091163873672485
2023-08-24 11:32:32,"Sensex, Nifty slip as Reliance slide overpowers IT gains","Indian shares reversed intraday gains on Thursday, Reliance Industries dragging the Nifty 50 0.29% lower. Mid- and small-caps outperformed blue-chips, driven by retail inflows and hopes of near-term returns. Reliance's $1bn investment in its retail arm led to a slight reduction in its SOTP valuation. IT stocks rose 0.61%, following Wall Street rally. RBI policy meeting minutes due at 5pm. Investors advised to stay stock-selective and cautious.",negative,0.9224808216094971
2023-08-24 02:38:19,"Qatar Investment Authority to invest ₹8,278 crore in Reliance Retail Ventures","Reliance Retail Ventures Ltd. (RRVL), a subsidiary of Reliance Industries Ltd., said that Qatar Investment Authority (QIA), through a wholly-owned subsidiary, has agreed to invest ₹8,278 crore in the company. This investment values RRVL at a pre-money equity value of ₹8.278 lakh crore, RRVL said in a statement.",positive,0.7394475340843201
2023-08-24 01:00:00,"Day trading guide for August 24, 2023: Intraday supports, resistances for Nifty50 stocks","The Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, and SBI. Based on the trend, it also gives intraday trade recommendations with specific entry as well as stop-loss levels. The mentioned resistances and supports will be the exit levels. Do note that the recommendations are based on Technical Analysis and there is a risk of loss in trading.",neutral,0.908290445804596
2023-08-24 02:30:45,"Stocks To Watch: Reliance Industries, NHPC, P&G Health, Aeroflex Industries, Vascon Engineers, SJS Enterprises","U.S. stocks and bonds climbed after economic reports in both the U.S. and Europe bolstered speculation that major central banks will pause their interest-rate hikes to prevent a recession, reported Bloomberg. 

S&P 500 jumped 1.25% while Nasdaq surged 1.68% as of 2:14 p.m. Dow Jones rose 0.57%.",positive,0.9066675901412964
2023-08-23 00:33:00,"Day trading guide for August 23, 2023: Intraday supports, resistances for Nifty50 stocks","The Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS and SBI. Based on the trend, it also gives intraday trade recommendations with specific entry as well as stop-loss levels. The mentioned resistances and supports will be the exit levels. Do note that the recommendations are based on Technical Analysis and there is a risk of loss in trading.",neutral,0.8999207615852356
2023-08-22 17:08:39,Jio Financial Services shares decline 5% for second straight day, LIC has acquired 6.66% stake in Jio Financial Services Ltd. post the demerger of Reliance Industries. The cost of acquisition was 4.68% of the demerged cost of Reliance Industries. Shares of Jio Financial Services fell 5% on both NSE and BSE.,negative,0.9726499915122986
2023-08-22 00:33:00,"Day trading guide for Aug 22, 2023: Intraday supports, resistances for Nifty50 stocks","The Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS and SBI. Based on the trend, it also gives intraday trade recommendations with specific entry as well as stop-loss levels. The mentioned resistances and supports will be the exit levels. Do note that the recommendations are based on Technical Analysis and there is a risk of loss in trading.",neutral,0.8999207615852356
2023-08-21 13:58:11,"Reliance Group’s Market Capitalisation Falls Over Rs 32,900 Crore","Reliance Group stocks lost market capitalisation by Rs 32,986 crore in a day, lead by Reliance Industries Ltd.

RIL's market cap fell nearly Rs 24,900 crore on Monday, following the muted listing of its financial services business on the Indian exchanges.",negative,0.9749401211738586
2023-08-21 05:27:30,Ambani’s $20 Billion Financial Unit Set to Debut in Mumbai,"Shares of Jio Financial Services Ltd., a recently spun off unit of Reliance Industries Ltd., made a weak start in a widely watched trading debut on Monday.",negative,0.9724469184875488
2023-08-20 08:30:15,"Mcap of seven of top 10 firms declines by ₹80,200 crore; TCS, HDFC Bank biggest laggards","Last week, 7 of the top 10 valued firms saw a combined market valuation drop of Rs 80,200.24 crore due to a weak equities trend. TCS and HDFC Bank were the biggest laggards, while Reliance Industries, Hindustan Unilever and Infosys gained. RIL remained the most valued firm, followed by TCS, HDFC Bank, ICICI Bank, HUL, Infosys, ITC, SBI, Airtel and Bajaj Finance.",negative,0.9710298180580139
2023-08-18 14:32:55,RIL says Jio Financial Services to get listed on August 21,Jio Financial Services has already allotted equity shares of Jio Financial Services to shareholders of Reliance Industries to eligible shareholders. ,neutral,0.7757003307342529
2023-08-18 10:01:57,Jio Financial Services To Get Listed On Aug 21,"Jio Financial Services Ltd. will start trading on the Bombay Stock Exchange on August 21, a notice from the exchange said. 

The issued, subscribed and paid-up equity capital of Jio Financial Services, post the demerger arrangement, stands at Rs 6,353.2 crore. This consists of 635.3 crore equity shares with a face value of Rs 10 apiece.",neutral,0.955355167388916
2023-08-18 06:54:34,"Share Market Highlights 17 August, 2023: Sensex dips 388 pts; Nifty slips below 19,400; Adani Ports, Titan among top gainers","Sensex, Nifty updates on 17 August 2023 – Snapping their two-day winning run, equity benchmarks Sensex and Nifty closed in the negative territory on Thursday, tracking losses in index majors Reliance Industries, ITC, and HDFC bank amid a weak trend in global markets. The BSE Sensex declined 388.40 points or 0.59 per cent to settle at 65,151.02. During the day, it fell by 493.32 points or 0.75 per cent to 65,046.10. The NSE Nifty slipped 99.75 points or 0.51 per cent to end at 19,365.25.",negative,0.9736314415931702
2023-08-18 00:45:00,"Day Trading Guide for August 18, 2023: Intraday supports, resistances for Nifty50 stocks","The Day Trading Guide provides key intraday supports and resistances to monitor on the Nifty Futures and popularly traded stocks like Reliance Industries, Infosys, HDFC Bank, TCS, and SBI, along with offering intraday trade recommendations that include specific entry and stop-loss levels, where the mentioned resistances and supports serve as exit points; however, it’s important to note that these recommendations rely on Technical Analysis and trading carries the risk of potential losses.",neutral,0.9055454134941101
2023-08-17 10:56:43,Markets snap 2-day winning run; Sensex slumps nearly 390 pts on weak global cues," Equity benchmarks Sensex & Nifty close in negative territory, tracking losses in index majors. Biggest loser ITC, followed by Power Grid, Reliance Industries, Larsen & Toubro, Nestle, Kotak Mahindra Bank, Bajaj Finance & JSW Steel. Asian & European markets trading lower; US markets ended in negative territory. FIIs bought equities worth ₹722.76 crore.",negative,0.9678827524185181
2023-08-17 00:45:00,"Day Trading Guide for August 17, 2023: Intraday supports, resistances for Nifty50 stocks","The Day Trading Guide provides key intraday supports and resistances to monitor on the Nifty Futures and popularly traded stocks like Reliance Industries, Infosys, HDFC Bank, TCS, and SBI, along with offering intraday trade recommendations that include specific entry and stop-loss levels, where the mentioned resistances and supports serve as exit points; however, it’s important to note that these recommendations rely on Technical Analysis and trading carries the risk of potential losses.",neutral,0.9055454134941101
2023-08-15 11:31:05,"Viacom18 completes merger of JioCinema and Voot OTT platforms, majority subscribers transitioned",".Viacom18 has nearly completed merging its two OTT platforms, JioCinema and Voot. 90% of Voot Select subscribers have transitioned to JioCinema, with the remaining 10% expected to follow soon. The merger was part of Viacom18's scheme with Reliance Industries, Bodhi Tree Systems and Paramount Global. Voot has been dissolved, with all its content now available on JioCinema. Voot Select subscribers are being given the option to be onboarded onto JioCinema.",neutral,0.9277380108833313
2023-08-13 06:20:17,"Mcap of seven of top 10 firms falls by ₹74,603 cr; HDFC Bank biggest laggard","Last week, seven of the top 10 valued firms saw a combined market valuation drop of ₹74,603.06 crore, with HDFC Bank suffering the biggest loss. ICICI Bank, Hindustan Unilever, Infosys, ITC, Bajaj Finance all saw erosion in their mcap, while Reliance Industries, TCS and SBI added to theirs. Reliance Industries remained the most valued firm, followed by TCS, HDFC Bank, ICICI Bank, Hindustan Unilever, Infosys, ITC, SBI, Bharti Airtel and Bajaj Finance.",negative,0.9732323884963989
2023-08-11 00:40:00,"Day trading guide for Aug 11, 2023: Intraday supports, resistances for Nifty50 stocks","The Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, and SBI. Based on the trend, it also gives intraday trade recommendations with specific entry as well as stop-loss levels. The mentioned resistances and supports will be the exit levels. Do note that the recommendations are based on Technical Analysis and there is a risk of loss in trading.",neutral,0.908290445804596
2023-08-10 00:40:00,"Day trading guide for Aug 10, 2023: Intraday supports, resistances for Nifty50 stocks","The Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, and SBI. Based on the trend, it also gives intraday trade recommendations with specific entry as well as stop-loss levels. The mentioned resistances and supports will be the exit levels. Do note that the recommendations are based on Technical Analysis and there is a risk of loss in trading.",neutral,0.908290445804596
